local_authority,online_pct,paper_first_pct,underperformance_reported,score_b,rank_b,monte_carlo_frequency_reported
Boston,59.8,61.1,1.394,1.763,1,0.689
Blaenau Gwent,55.2,70.2,1.026,1.678,2,0.489
Denbighshire,57.7,63.8,2.02,1.457,3,0.519
Conwy,59.7,59.2,2.531,1.456,4,0.768
Gwynedd,53.1,74.0,1.051,1.358,5,0.283
Carmarthenshire,62.2,55.4,2.106,1.298,6,0.397
Isle of Anglesey,61.0,59.1,1.286,1.259,7,0.348
Ceredigion,61.6,54.3,3.306,1.224,8,0.488
East Lindsey,75.5,32.1,1.527,1.199,9,0.638
Rhondda Cynon Taf,61.4,63.6,-1.571,1.173,10,0.15
"Kingston upon Hull, City of",62.8,60.2,-1.115,1.156,11,0.166
Merthyr Tydfil,64.4,61.1,-3.206,1.134,12,0.136
